locality,lga_name,abs_lga_code,regional_group,category,subcategory,display_name,poi_count
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,public_transport,stop_position,Public Transport Stop Position,4
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,recreation,nature_reserve,Nature Reserve,1
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,recreation,park,Park,30
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,recreation,playground,Playground,6
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,recreation,sports_centre,Sports Centre,6
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,shopping,convenience_store,Convenience Store,6
MOOROOPNA,GREATER SHEPPARTON,22830,Goulburn,shopping,supermarket,Supermarket,4
MOOROOPNA NORTH,GREATER SHEPPARTON,22830,Goulburn,education,school,School,2
MORANDING,MITCHELL,24850,Goulburn,recreation,nature_reserve,Nature Reserve,3
MORIAC,SURF COAST,26490,Barwon,community,community_centre,Community Centre,2
MORIAC,SURF COAST,26490,Barwon,education,kindergarten,Kindergarten,2
MORIAC,SURF COAST,26490,Barwon,education,school,School,2
MORIAC,SURF COAST,26490,Barwon,healthcare,clinic,Clinic,2
MORIAC,SURF COAST,26490,Barwon,public_transport,bus_stop,Bus Stop,1
MORIAC,SURF COAST,26490,Barwon,public_transport,platform,Public Transport Platform,1
MORIAC,SURF COAST,26490,Barwon,recreation,garden,Garden,8
MORIAC,SURF COAST,26490,Barwon,recreation,park,Park,4
MORIAC,SURF COAST,26490,Barwon,recreation,playground,Playground,4
MOROKA,WELLINGTON,26810,Gippsland,recreation,nature_reserve,Nature Reserve,1
MORRISONS,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,2
MORRISONS,MOORABOOL,25150,Central Highlands,recreation,park,Park,2
MORRL MORRL,NORTHERN GRAMPIANS,25810,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,6
MORTLAKE,MOYNE,25490,Great South Coast,community,library,Library,2
MORTLAKE,MOYNE,25490,Great South Coast,community,town_hall,Town Hall,2
MORTLAKE,MOYNE,25490,Great South Coast,education,kindergarten,Kindergarten,2
MORTLAKE,MOYNE,25490,Great South Coast,education,school,School,4
MORTLAKE,MOYNE,25490,Great South Coast,public_transport,bus_stop,Bus Stop,3
MORTLAKE,MOYNE,25490,Great South Coast,public_transport,stop_position,Public Transport Stop Position,1
MORTLAKE,MOYNE,25490,Great South Coast,recreation,garden,Garden,2
MORTLAKE,MOYNE,25490,Great South Coast,recreation,nature_reserve,Nature Reserve,2
MORTLAKE,MOYNE,25490,Great South Coast,recreation,park,Park,8
MORTLAKE,MOYNE,25490,Great South Coast,recreation,playground,Playground,4
MORTLAKE,MOYNE,25490,Great South Coast,recreation,sports_centre,Sports Centre,6
MORWELL,LATROBE,23810,Gippsland,community,library,Library,1
MORWELL,LATROBE,23810,Gippsland,education,childcare,Childcare Centre,2
MORWELL,LATROBE,23810,Gippsland,education,kindergarten,Kindergarten,2
MORWELL,LATROBE,23810,Gippsland,education,school,School,13
MORWELL,LATROBE,23810,Gippsland,healthcare,clinic,Clinic,6
MORWELL,LATROBE,23810,Gippsland,healthcare,doctor,Doctor,1
MORWELL,LATROBE,23810,Gippsland,healthcare,hospital,Hospital,2
MORWELL,LATROBE,23810,Gippsland,healthcare,pharmacy,Pharmacy,4
MORWELL,LATROBE,23810,Gippsland,public_transport,bus_station,Bus Station,1
MORWELL,LATROBE,23810,Gippsland,public_transport,bus_stop,Bus Stop,104
MORWELL,LATROBE,23810,Gippsland,public_transport,platform,Public Transport Platform,3
MORWELL,LATROBE,23810,Gippsland,public_transport,railway_station,Railway Station,1
MORWELL,LATROBE,23810,Gippsland,public_transport,stop_position,Public Transport Stop Position,8
MORWELL,LATROBE,23810,Gippsland,recreation,garden,Garden,4
MORWELL,LATROBE,23810,Gippsland,recreation,nature_reserve,Nature Reserve,8
MORWELL,LATROBE,23810,Gippsland,recreation,park,Park,44
MORWELL,LATROBE,23810,Gippsland,recreation,playground,Playground,13
MORWELL,LATROBE,23810,Gippsland,recreation,sports_centre,Sports Centre,5
MORWELL,LATROBE,23810,Gippsland,shopping,convenience_store,Convenience Store,8
MORWELL,LATROBE,23810,Gippsland,shopping,supermarket,Supermarket,3
MOSSIFACE,EAST GIPPSLAND,22110,Gippsland,community,town_hall,Town Hall,1
MOSSIFACE,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,community,library,Library,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,education,school,School,4
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,healthcare,clinic,Clinic,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,healthcare,hospital,Hospital,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,recreation,garden,Garden,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,recreation,park,Park,11
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,recreation,playground,Playground,2
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,recreation,sports_centre,Sports Centre,6
MOUNT BEAUTY,ALPINE,20110,Ovens Murray,shopping,supermarket,Supermarket,1
MOUNT BECKWORTH,HEPBURN,22910,Central Highlands,recreation,nature_reserve,Nature Reserve,2
MOUNT BRUNO,BENALLA,21010,Ovens Murray,recreation,nature_reserve,Nature Reserve,2
MOUNT BUFFALO,ALPINE,20110,Ovens Murray,recreation,nature_reserve,Nature Reserve,3
MOUNT BUFFALO,ALPINE,20110,Ovens Murray,recreation,park,Park,2
MOUNT BULLER,MANSFIELD,24250,Ovens Murray,recreation,nature_reserve,Nature Reserve,5
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,education,school,School,2
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,healthcare,clinic,Clinic,2
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,public_transport,bus_stop,Bus Stop,8
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,public_transport,station,Public Transport Station,39
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,recreation,sports_centre,Sports Centre,1
MOUNT BULLER,MOUNT BULLER ALPINE RESORT (UNINC),29399,Goulburn,shopping,supermarket,Supermarket,1
MOUNT BUTE,CORANGAMITE,21830,Great South Coast,recreation,park,Park,2
MOUNT CAMEL,GREATER BENDIGO,22620,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,1
MOUNT CLEAR,BALLARAT,20570,Central Highlands,education,kindergarten,Kindergarten,4
MOUNT CLEAR,BALLARAT,20570,Central Highlands,education,school,School,8
MOUNT CLEAR,BALLARAT,20570,Central Highlands,healthcare,clinic,Clinic,2
MOUNT CLEAR,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,12
MOUNT CLEAR,BALLARAT,20570,Central Highlands,recreation,nature_reserve,Nature Reserve,1
MOUNT CLEAR,BALLARAT,20570,Central Highlands,recreation,park,Park,27
MOUNT CLEAR,BALLARAT,20570,Central Highlands,recreation,playground,Playground,9
MOUNT CLEAR,BALLARAT,20570,Central Highlands,recreation,sports_centre,Sports Centre,1
MOUNT CLEAR,BALLARAT,20570,Central Highlands,shopping,supermarket,Supermarket,1
MOUNT COLE,ARARAT,20260,Central Highlands,recreation,nature_reserve,Nature Reserve,1
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,community,community_centre,Community Centre,4
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,community,social_facility,Social Facility,2
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,education,school,School,4
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,healthcare,doctor,Doctor,2
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,healthcare,pharmacy,Pharmacy,1
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,public_transport,bus_stop,Bus Stop,14
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,public_transport,platform,Public Transport Platform,1
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,public_transport,stop_position,Public Transport Stop Position,2
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,recreation,park,Park,35
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,recreation,playground,Playground,21
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,recreation,sports_centre,Sports Centre,3
MOUNT DUNEED,GREATER GEELONG,22750,Barwon,shopping,supermarket,Supermarket,1
MOUNT DUNEED,SURF COAST,26490,Barwon,public_transport,bus_stop,Bus Stop,2
MOUNT DUNEED,SURF COAST,26490,Barwon,recreation,nature_reserve,Nature Reserve,2
MOUNT DUNEED,SURF COAST,26490,Barwon,recreation,park,Park,4
MOUNT DUNEED,SURF COAST,26490,Barwon,recreation,playground,Playground,2
MOUNT ECCLES,SOUTH GIPPSLAND,26170,Gippsland,community,community_centre,Community Centre,2
MOUNT EGERTON,MOORABOOL,25150,Central Highlands,education,school,School,2
MOUNT EGERTON,MOORABOOL,25150,Central Highlands,public_transport,bus_stop,Bus Stop,4
MOUNT EGERTON,MOORABOOL,25150,Central Highlands,public_transport,stop_position,Public Transport Stop Position,2
MOUNT EGERTON,MOORABOOL,25150,Central Highlands,recreation,nature_reserve,Nature Reserve,5
MOUNT EGERTON,MOORABOOL,25150,Central Highlands,shopping,convenience_store,Convenience Store,1
MOUNT EMU,PYRENEES,25990,Central Highlands,recreation,sports_centre,Sports Centre,2
MOUNT FRANKLIN,HEPBURN,22910,Central Highlands,recreation,nature_reserve,Nature Reserve,5
MOUNT GLASGOW,CENTRAL GOLDFIELDS,21670,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,2
MOUNT HELEN,BALLARAT,20570,Central Highlands,community,library,Library,2
MOUNT HELEN,BALLARAT,20570,Central Highlands,education,kindergarten,Kindergarten,1
MOUNT HELEN,BALLARAT,20570,Central Highlands,education,school,School,2
MOUNT HELEN,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,12
MOUNT HELEN,BALLARAT,20570,Central Highlands,public_transport,platform,Public Transport Platform,7
MOUNT HELEN,BALLARAT,20570,Central Highlands,recreation,garden,Garden,4
MOUNT HELEN,BALLARAT,20570,Central Highlands,recreation,park,Park,12
MOUNT HELEN,BALLARAT,20570,Central Highlands,recreation,playground,Playground,5
MOUNT HELEN,BALLARAT,20570,Central Highlands,recreation,sports_centre,Sports Centre,5
MOUNT LONARCH,PYRENEES,25990,Central Highlands,recreation,nature_reserve,Nature Reserve,2
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,education,school,School,4
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,recreation,garden,Garden,6
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,1
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,recreation,park,Park,2
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,recreation,playground,Playground,1
MOUNT MACEDON,MACEDON RANGES,24130,Loddon Campaspe,recreation,sports_centre,Sports Centre,2
MOUNT MERCER,GOLDEN PLAINS,22490,Central Highlands,recreation,nature_reserve,Nature Reserve,2
MOUNT MORIAC,SURF COAST,26490,Barwon,recreation,park,Park,2
MOUNT MORIAC,SURF COAST,26490,Barwon,recreation,playground,Playground,2
MOUNT NAPIER,SOUTHERN GRAMPIANS,26260,Great South Coast,recreation,nature_reserve,Nature Reserve,1
MOUNT PLEASANT,BALLARAT,20570,Central Highlands,education,school,School,2
MOUNT PLEASANT,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,12
MOUNT PLEASANT,BALLARAT,20570,Central Highlands,public_transport,stop_position,Public Transport Stop Position,1
MOUNT PLEASANT,BALLARAT,20570,Central Highlands,recreation,park,Park,8
MOUNT PLEASANT,BALLARAT,20570,Central Highlands,recreation,playground,Playground,10
MOUNT RICHMOND,GLENELG,22410,Great South Coast,recreation,nature_reserve,Nature Reserve,16
MOUNT RICHMOND,GLENELG,22410,Great South Coast,recreation,park,Park,4
MOUNT ROWAN,BALLARAT,20570,Central Highlands,education,school,School,2
MOUNT ROWAN,BALLARAT,20570,Central Highlands,public_transport,bus_stop,Bus Stop,16
MOUNT TAYLOR,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,2
MOUNT WALLACE,MOORABOOL,25150,Central Highlands,recreation,playground,Playground,2
MOYHU,WANGARATTA,26700,Ovens Murray,education,school,School,2
MOYHU,WANGARATTA,26700,Ovens Murray,public_transport,bus_stop,Bus Stop,1
MOYHU,WANGARATTA,26700,Ovens Murray,recreation,park,Park,2
MOYHU,WANGARATTA,26700,Ovens Murray,recreation,playground,Playground,1
MOYHU,WANGARATTA,26700,Ovens Murray,shopping,convenience_store,Convenience Store,1
MOYREISK,NORTHERN GRAMPIANS,25810,Wimmera Southern Mallee,recreation,nature_reserve,Nature Reserve,2
MOYSTON,ARARAT,20260,Central Highlands,education,school,School,2
MOYSTON,ARARAT,20260,Central Highlands,recreation,nature_reserve,Nature Reserve,16
MOYSTON,ARARAT,20260,Central Highlands,recreation,park,Park,2
MOYSTON,ARARAT,20260,Central Highlands,shopping,convenience_store,Convenience Store,1
MUCKATAH,MOIRA,24900,Goulburn,recreation,nature_reserve,Nature Reserve,1
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,community,community_centre,Community Centre,2
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,education,school,School,2
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,public_transport,bus_stop,Bus Stop,2
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,public_transport,railway_station,Railway Station,1
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,4
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,recreation,park,Park,1
MUCKLEFORD,MOUNT ALEXANDER,25430,Loddon Campaspe,recreation,playground,Playground,2
MUCKLEFORD SOUTH,MOUNT ALEXANDER,25430,Loddon Campaspe,community,community_centre,Community Centre,2
MUCKLEFORD SOUTH,MOUNT ALEXANDER,25430,Loddon Campaspe,recreation,nature_reserve,Nature Reserve,2
MUDGEGONGA,ALPINE,20110,Ovens Murray,community,town_hall,Town Hall,1
MUDGEGONGA,ALPINE,20110,Ovens Murray,public_transport,bus_stop,Bus Stop,1
MUDGEGONGA,ALPINE,20110,Ovens Murray,recreation,nature_reserve,Nature Reserve,1
MUMBANNAR,GLENELG,22410,Great South Coast,community,community_centre,Community Centre,2
MUMBANNAR,GLENELG,22410,Great South Coast,recreation,nature_reserve,Nature Reserve,15
MUNDOONA,MOIRA,24900,Goulburn,recreation,nature_reserve,Nature Reserve,1
MUNRO,WELLINGTON,26810,Gippsland,recreation,nature_reserve,Nature Reserve,4
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,education,school,School,2
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,healthcare,pharmacy,Pharmacy,1
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,recreation,garden,Garden,2
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,recreation,nature_reserve,Nature Reserve,5
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,recreation,park,Park,2
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,recreation,playground,Playground,1
MURCHISON,GREATER SHEPPARTON,22830,Goulburn,shopping,convenience_store,Convenience Store,1
MURCHISON EAST,GREATER SHEPPARTON,22830,Goulburn,public_transport,bus_stop,Bus Stop,1
MURCHISON EAST,GREATER SHEPPARTON,22830,Goulburn,public_transport,platform,Public Transport Platform,1
MURCHISON EAST,GREATER SHEPPARTON,22830,Goulburn,public_transport,railway_station,Railway Station,1
