locality,lga_name,abs_lga_code,regional_group,category,subcategory,display_name,poi_count
MANIFOLD HEIGHTS,GREATER GEELONG,22750,Barwon,shopping,convenience_store,Convenience Store,5
MANNIBADAR,GOLDEN PLAINS,22490,Central Highlands,community,community_centre,Community Centre,2
MANORINA,EAST GIPPSLAND,22110,Gippsland,public_transport,bus_stop,Bus Stop,1
MANSFIELD,MANSFIELD,24250,Ovens Murray,community,community_centre,Community Centre,7
MANSFIELD,MANSFIELD,24250,Ovens Murray,community,library,Library,1
MANSFIELD,MANSFIELD,24250,Ovens Murray,community,social_facility,Social Facility,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,community,town_hall,Town Hall,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,education,school,School,10
MANSFIELD,MANSFIELD,24250,Ovens Murray,healthcare,hospital,Hospital,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,healthcare,pharmacy,Pharmacy,1
MANSFIELD,MANSFIELD,24250,Ovens Murray,public_transport,bus_station,Bus Station,1
MANSFIELD,MANSFIELD,24250,Ovens Murray,public_transport,bus_stop,Bus Stop,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,public_transport,platform,Public Transport Platform,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,recreation,garden,Garden,18
MANSFIELD,MANSFIELD,24250,Ovens Murray,recreation,nature_reserve,Nature Reserve,6
MANSFIELD,MANSFIELD,24250,Ovens Murray,recreation,park,Park,60
MANSFIELD,MANSFIELD,24250,Ovens Murray,recreation,playground,Playground,9
MANSFIELD,MANSFIELD,24250,Ovens Murray,recreation,sports_centre,Sports Centre,6
MANSFIELD,MANSFIELD,24250,Ovens Murray,shopping,convenience_store,Convenience Store,2
MANSFIELD,MANSFIELD,24250,Ovens Murray,shopping,supermarket,Supermarket,3
MARAMINGO CREEK,EAST GIPPSLAND,22110,Gippsland,recreation,nature_reserve,Nature Reserve,2
MARCUS HILL,GREATER GEELONG,22750,Barwon,public_transport,platform,Public Transport Platform,1
MARCUS HILL,GREATER GEELONG,22750,Barwon,public_transport,railway_halt,Railway Halt,1
MARCUS HILL,GREATER GEELONG,22750,Barwon,public_transport,stop_position,Public Transport Stop Position,2
